districts,district total:,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 or more"
"District 12, Putnam County, TN",2679,374,198,139,182,47,195,181,120,250,179,222,99,186,153,19,135
"District 6, Cumberland County, TN",2678,218,332,155,189,157,178,190,64,190,159,195,424,123,10,53,41
"District 2, Cheatham County, TN",2666,110,48,189,95,142,53,141,75,89,393,278,451,321,167,66,48
"District 8, Putnam County, TN",2665,197,124,237,178,140,168,50,185,101,281,311,267,142,141,73,70
"District 4, Roane County, TN",2664,177,136,77,71,75,107,20,121,160,152,309,379,321,144,235,180
"District 1, Madison County, TN",2618,507,403,326,191,152,162,124,91,116,171,180,46,89,14,40,6
"District 2, Tipton County, TN",2597,173,267,77,124,124,165,245,177,77,197,199,282,142,108,143,97
"District 3, Unicoi County, TN",2567,216,144,149,200,215,167,129,181,88,178,249,300,168,98,45,40
"District 1, Unicoi County, TN",2559,222,159,250,166,279,113,144,70,111,183,310,250,212,13,29,48
"District 2, Unicoi County, TN",2532,222,221,149,162,167,95,136,153,218,197,264,314,156,21,9,48
"District 8, Carter County, TN",2522,233,253,259,120,400,200,150,143,83,279,93,108,72,43,67,19
"District 8, Franklin County, TN",2520,211,160,156,238,103,146,101,115,150,270,218,312,164,83,66,27
"District 7, Maury County, TN",2514,92,51,178,87,124,192,137,173,142,211,350,240,238,84,143,72
"District 1, Sullivan County, TN",2508,174,233,256,217,159,154,86,43,111,213,281,293,165,51,44,28
"District 7, Putnam County, TN",2505,72,163,158,171,132,285,178,118,205,123,222,301,153,41,130,53
"District 8, Robertson County, TN",2502,32,55,97,136,108,83,221,116,37,293,342,248,319,157,199,59
"District 3, Marion County, TN",2499,297,168,137,168,135,100,80,136,82,234,347,157,159,121,82,96
"District 3, Putnam County, TN",2478,716,177,335,307,95,78,101,95,106,70,191,37,70,48,45,7
"District 14, Wilson County, TN",2477,105,37,0,116,28,82,0,39,33,192,266,304,296,379,153,447
"District 3, Fayette County, TN",2475,304,114,205,140,199,144,27,63,76,187,214,244,172,124,117,145
"District 2, Putnam County, TN",2468,157,159,122,136,146,113,135,135,135,135,184,426,168,76,116,125
"District 1, Henry County, TN",2464,113,246,201,168,178,242,120,124,76,226,182,208,154,107,62,57
"District 5, Cheatham County, TN",2442,100,76,78,93,63,111,110,159,88,203,334,394,271,127,154,81
"District 4, Cheatham County, TN",2440,103,72,66,174,69,167,170,172,87,300,289,365,236,78,51,41
"District 5, Marion County, TN",2438,189,172,147,138,122,85,128,158,73,212,317,372,150,73,68,34
"District 2, Cumberland County, TN",2437,336,301,297,247,228,128,148,56,29,144,214,74,103,68,53,11
"District 1, Gibson County, TN",2431,34,76,110,42,73,39,72,101,91,155,367,430,276,264,121,180
"District 1, Hardeman County, TN",2425,288,309,337,49,101,57,145,220,105,157,188,209,96,100,42,22
"District 3, Cheatham County, TN",2403,24,62,76,48,90,86,46,59,111,187,294,515,326,178,234,67
"District 3, Wilson County, TN",2391,149,0,34,45,145,86,46,35,100,75,223,335,340,351,221,206
"District 6, Cheatham County, TN",2389,90,114,91,85,72,67,193,49,62,117,258,459,234,158,196,144
"District 2, Polk County, TN",2383,73,85,208,38,188,261,88,181,158,153,230,394,141,69,79,37
"District 9, Putnam County, TN",2361,86,158,79,100,146,154,130,110,85,302,206,357,251,96,30,71
"District 25, Wilson County, TN",2360,24,0,27,9,19,105,83,171,26,127,273,463,233,157,451,192
"District 3, Polk County, TN",2313,202,129,153,289,162,217,100,62,106,161,200,241,147,67,31,46
"District 6, Tipton County, TN",2301,123,54,104,67,150,178,136,67,73,208,332,370,162,106,109,62
"District 4, Henry County, TN",2285,282,202,150,308,145,132,132,170,80,163,212,111,71,40,74,13
"District 9, Robertson County, TN",2281,103,41,58,87,148,118,53,213,152,245,302,327,206,94,73,61
"District 2, Cocke County, TN",2274,208,235,175,55,144,80,129,139,99,332,248,161,159,63,30,17
"District 2, Marion County, TN",2269,75,159,124,98,90,100,49,139,139,313,243,260,193,72,138,77
"District 5, Bedford County, TN",2234,11,37,64,92,84,79,115,168,93,249,304,254,359,74,45,206
"District 1, Robertson County, TN",2223,44,115,87,112,60,144,61,66,84,160,311,282,269,149,159,120
"District 4, Monroe County, TN",2218,109,116,177,95,70,108,118,52,157,141,260,210,335,54,131,85
"District 4, Putnam County, TN",2213,116,199,273,138,103,136,84,87,81,179,254,283,121,103,43,13
"District 2, Robertson County, TN",2211,83,106,11,149,35,99,0,125,39,198,319,499,200,120,163,65
"District 2, Franklin County, TN",2205,124,113,94,26,62,79,39,94,129,282,311,370,220,48,51,163
"District 1, Cocke County, TN",2192,191,213,145,101,116,193,102,69,93,147,274,192,142,81,70,63
"District 1, Jefferson County, TN",2175,45,83,105,95,105,125,196,107,94,156,381,189,178,84,117,115
"District 1, Franklin County, TN",2173,184,74,178,73,216,98,162,21,149,179,207,240,113,70,100,109
"District 3, Tipton County, TN",2170,169,152,79,75,158,132,116,164,131,117,141,275,129,137,149,46
"District 8, Tipton County, TN",2168,94,112,43,72,31,101,78,37,114,96,379,400,297,135,110,69
"District 5, Wilson County, TN",2167,68,65,16,67,32,70,213,67,55,188,128,294,271,152,122,359
"District 5, Robertson County, TN",2165,147,56,55,117,122,173,95,16,126,241,170,191,181,169,253,53
"District 8, Cumberland County, TN",2165,131,80,154,171,66,117,172,273,82,200,188,241,97,51,91,51
"District 7, Franklin County, TN",2163,89,197,0,166,56,59,17,87,111,125,292,362,328,114,72,88
"District 23, Wilson County, TN",2158,20,15,18,18,139,35,63,137,0,254,223,258,234,259,182,303
"District 7, Jefferson County, TN",2155,149,95,232,92,175,107,129,85,209,249,156,241,89,56,54,37
"District 4, Wilson County, TN",2154,96,48,0,115,237,21,113,168,38,120,67,379,229,135,181,207
"District 3, Robertson County, TN",2146,55,49,20,142,108,110,81,102,64,131,213,427,316,78,144,106
"District 4, Robertson County, TN",2145,50,68,105,85,150,98,22,63,110,213,296,337,244,155,93,56
"District 2, Claiborne County, TN",2143,337,161,176,57,124,137,56,101,190,210,239,177,66,71,0,41
"District 3, Cocke County, TN",2139,277,171,92,135,134,76,115,166,46,240,245,237,121,58,0,26
"District 4, Marion County, TN",2139,220,46,102,83,95,220,89,99,88,214,231,305,126,93,107,21
"District 3, Claiborne County, TN",2134,259,139,218,132,124,194,128,111,100,163,195,240,65,8,48,10
"District 1, Marion County, TN",2132,284,170,104,139,79,175,160,73,79,191,176,182,106,108,66,40
"District 9, Tipton County, TN",2131,96,72,75,92,110,42,102,221,37,276,178,243,270,187,35,95
"District 19, Wilson County, TN",2124,168,79,22,40,125,55,217,194,40,190,349,273,110,129,133,0
"District 6, Hamblen County, TN",2121,185,205,187,162,82,147,62,104,68,220,128,344,106,24,29,68
"District 16, Wilson County, TN",2112,50,84,25,57,35,0,38,151,99,99,296,367,183,279,227,122
"District 8, Bedford County, TN",2100,292,117,173,56,34,181,270,254,62,111,167,216,114,36,17,0
"District 6, Franklin County, TN",2093,100,207,160,81,104,171,223,86,69,240,174,171,127,47,88,45
"District 11, Robertson County, TN",2085,116,53,63,66,30,128,53,123,58,165,325,341,227,146,122,69
"District 5, Cocke County, TN",2082,133,170,119,147,149,142,87,127,73,175,200,322,138,50,26,24
"District 3, Bedford County, TN",2067,112,106,35,109,54,72,221,97,104,203,306,289,117,81,86,75
"District 6, Wilson County, TN",2066,30,31,36,25,88,33,40,86,72,122,175,509,349,208,19,243
"District 4, Overton County, TN",2060,87,204,119,108,189,80,121,108,81,94,268,281,207,12,76,25
"District 6, Robertson County, TN",2059,0,28,61,0,3,119,267,81,70,78,265,325,304,100,197,161
"District 5, Hardeman County, TN",2047,197,107,135,120,179,143,130,122,63,169,246,207,92,84,34,19
"District 10, Washington County, TN",2035,145,123,103,133,78,95,38,165,138,213,305,223,91,128,16,41
"District 10, Robertson County, TN",2009,83,10,98,121,121,122,117,119,61,163,242,309,177,65,125,76
"District 4, Franklin County, TN",2009,219,198,133,128,136,96,76,79,56,228,188,265,64,62,32,49
"District 5, Jefferson County, TN",1996,47,63,77,40,75,58,139,87,183,170,190,256,341,99,94,77
"District 3, Loudon County, TN",1992,85,23,16,61,82,87,150,23,111,245,256,332,182,79,133,127
"District 13, Wilson County, TN",1984,23,3,42,47,95,54,51,62,53,259,279,268,421,126,152,49
"District 2, Jefferson County, TN",1979,31,66,208,87,112,122,89,147,17,192,209,299,193,36,115,56
"District 6, Loudon County, TN",1979,70,15,0,12,61,88,130,96,34,271,370,175,151,236,109,161
"District 6, Cocke County, TN",1977,323,308,180,195,77,123,75,123,87,114,92,175,32,22,38,13
"District 7, Claiborne County, TN",1962,364,99,142,204,116,118,92,64,59,135,195,101,169,37,4,63
"District 24, Wilson County, TN",1956,54,153,185,167,80,195,180,71,86,147,230,155,141,53,12,47
"District 3, Franklin County, TN",1954,55,110,84,119,106,96,256,81,57,187,192,262,61,50,134,104
"District 7, Hamblen County, TN",1952,101,90,139,182,66,71,97,135,99,151,226,243,144,101,107,0
"District 12, Robertson County, TN",1947,406,188,195,143,197,128,100,59,24,208,80,104,68,19,0,28
"District 22, Wilson County, TN",1945,135,81,111,49,41,54,35,55,84,185,265,233,164,118,190,145
"District 3, Grainger County, TN",1940,73,71,95,288,75,87,72,72,94,121,207,309,161,81,79,55
"District 7, Robertson County, TN",1940,29,40,102,43,57,77,127,140,88,119,294,225,313,120,28,138
"District 6, Obion County, TN",1936,123,174,140,129,86,137,95,118,120,210,250,180,87,37,33,17
"District 1, Claiborne County, TN",1931,232,153,160,139,145,61,108,116,52,210,199,142,112,53,39,10
"District 9, Jefferson County, TN",1931,148,154,134,119,57,154,123,19,110,140,214,271,116,109,37,26
"District 8, Jefferson County, TN",1916,72,89,131,111,70,203,133,55,111,198,212,139,59,60,140,133
"District 3, Hamblen County, TN",1914,239,61,233,184,168,129,157,104,110,124,245,87,14,14,29,16
"District 7, Tipton County, TN",1914,112,61,49,12,137,56,77,40,58,167,232,276,276,127,118,116
"District 4, Jefferson County, TN",1901,154,130,157,212,60,115,24,71,131,140,143,251,164,52,58,39
"District 4, Obion County, TN",1899,369,284,198,247,108,57,53,95,46,20,154,116,48,86,18,0
"District 1, Obion County, TN",1891,189,96,99,110,104,115,109,104,94,171,170,205,143,63,20,99
"District 7, Wilson County, TN",1889,105,116,88,23,48,77,111,85,106,117,268,364,186,28,19,148
"District 6, Bedford County, TN",1879,154,138,121,156,158,140,88,103,89,71,225,174,192,11,59,0
"District 9, Hamblen County, TN",1875,46,142,177,288,44,173,112,85,36,122,227,120,146,78,46,33
"District 1, Grainger County, TN",1871,167,167,108,92,114,113,130,74,88,186,274,165,107,58,14,14
"District 4, Bedford County, TN",1866,207,73,175,54,86,86,79,61,91,203,188,291,147,18,67,40
"District 1, Overton County, TN",1863,284,195,183,92,71,234,75,48,61,122,175,171,93,34,0,25
"District 17, Wilson County, TN",1863,47,150,52,67,75,102,192,88,51,152,228,267,142,110,76,64
"District 2, Obion County, TN",1850,115,80,137,192,74,128,129,107,55,130,237,288,65,60,13,40
"District 12, Hamblen County, TN",1827,68,86,0,54,138,66,76,76,111,179,206,471,171,90,0,35
"District 10, Hamblen County, TN",1826,10,58,50,85,146,86,135,206,68,203,213,331,103,93,18,21
"District 4, Giles County, TN",1824,77,66,86,60,47,107,138,168,70,136,236,222,99,164,101,47
"District 5, Grainger County, TN",1824,75,238,39,67,31,126,92,113,120,124,375,188,135,18,32,51
"District 7, Giles County, TN",1823,159,222,266,109,143,80,87,78,33,167,195,136,42,88,8,10
"District 13, Hamblen County, TN",1822,0,0,37,87,89,136,109,91,121,186,216,336,142,114,84,74
"District 4, Lincoln County, TN",1819,66,115,67,88,105,182,27,123,101,195,202,225,146,57,106,14
"District 3, Lincoln County, TN",1818,103,113,103,163,91,99,78,152,117,104,129,356,87,84,15,24
"District 8, Dickson County, TN",1813,83,204,128,97,107,158,49,152,38,240,119,195,170,50,12,11
"District 5, Lincoln County, TN",1809,367,144,86,46,63,108,46,176,63,141,156,112,41,108,105,47
"District 9, Carroll County, TN",1809,228,29,72,57,121,131,54,124,47,182,204,312,134,56,25,33
"District 1, Wilson County, TN",1803,34,16,49,0,47,52,29,109,24,99,207,380,234,194,141,188
"District 1, Bedford County, TN",1802,124,53,48,66,77,34,87,66,100,193,199,341,140,53,95,126
"District 3, Overton County, TN",1802,118,193,213,118,114,123,86,41,96,200,203,110,99,33,42,13
"District 2, Grainger County, TN",1800,189,135,218,93,203,74,145,114,58,92,142,159,87,36,26,29
"District 4, Cocke County, TN",1790,255,69,200,191,107,133,178,142,125,62,103,81,66,26,29,23
"District 7, Obion County, TN",1787,140,199,215,135,102,111,193,56,112,47,86,212,38,90,38,13
"District 9, Wilson County, TN",1786,149,54,63,77,60,76,45,70,51,251,293,185,191,51,35,135
"District 2, Bedford County, TN",1777,28,91,121,43,10,147,112,164,59,151,151,243,206,99,117,35
"District 5, Overton County, TN",1761,121,116,128,79,159,155,114,47,14,241,224,115,111,41,39,57
"District 8, Lincoln County, TN",1758,52,37,84,57,119,205,103,27,23,193,175,310,110,34,100,129
"District 7, Lincoln County, TN",1756,18,73,70,159,189,97,85,152,124,114,193,205,166,35,63,13
"District 21, Wilson County, TN",1748,55,37,90,144,171,141,117,86,97,78,152,219,113,110,117,21
"District 7, Weakley County, TN",1746,91,73,60,118,84,156,145,47,84,131,248,239,82,77,67,44
"District 5, Giles County, TN",1740,30,62,154,57,20,73,70,108,97,168,255,273,203,80,36,54
"District 5, Obion County, TN",1739,106,80,79,128,64,148,114,122,62,202,171,243,153,35,19,13
"District 10, Wilson County, TN",1732,43,14,30,44,77,16,47,39,132,94,207,288,218,82,278,123
"District 18, Wilson County, TN",1730,16,17,24,62,94,117,83,46,18,60,170,348,164,163,255,93
"District 1, Giles County, TN",1728,68,100,151,71,57,195,94,74,73,143,141,286,135,82,44,14
"District 9, Bedford County, TN",1721,63,90,98,122,65,186,56,123,194,73,234,248,73,11,49,36
"District 11, Hamblen County, TN",1709,430,147,76,150,95,143,53,45,73,66,106,139,106,22,34,24
"District 4, Loudon County, TN",1705,96,110,98,44,96,121,224,43,40,174,162,181,112,103,74,27
"District 2, Giles County, TN",1704,66,86,110,75,82,111,88,95,49,257,114,168,161,134,98,10
"District 4, Fentress County, TN",1702,76,128,89,43,175,281,86,111,99,89,233,172,37,28,23,32
"District 5, Hamblen County, TN",1700,153,83,82,100,167,82,60,87,95,177,186,183,113,62,37,33
"District 8, Fayette County, TN",1683,75,38,101,78,61,48,21,120,41,139,138,134,123,176,170,220
"District 5, Dickson County, TN",1679,89,66,84,49,73,134,78,82,149,214,189,247,76,57,0,92
"District 1, Dyer County, TN",1677,120,92,74,142,58,39,122,123,50,219,194,202,148,0,33,61
"District 4, Henderson County, TN",1677,202,48,148,87,142,137,46,55,26,146,118,321,142,14,27,18
"District 6, Dyer County, TN",1676,573,151,120,105,98,105,47,76,86,123,88,58,39,7,0,0
"District 3, Henderson County, TN",1670,53,154,29,234,91,133,70,90,42,166,145,198,51,91,70,53
"District 6, Dickson County, TN",1668,3,13,16,109,71,99,53,28,121,75,213,430,213,82,122,20
"District 12, Dickson County, TN",1666,115,35,75,40,50,77,37,14,39,144,144,268,271,66,140,151
"District 2, Hamblen County, TN",1665,177,230,89,233,171,152,61,89,50,102,58,180,60,13,0,0
"District 15, Wilson County, TN",1664,11,17,72,126,49,189,92,157,75,169,90,170,262,97,40,48
"District 8, Wilson County, TN",1664,36,41,0,27,0,27,47,69,26,118,98,174,271,198,356,176
"District 7, Dickson County, TN",1660,43,30,55,92,145,216,43,127,69,321,128,130,107,61,78,15
"District 2, Grundy County, TN",1656,219,143,109,112,57,89,61,135,57,150,157,146,72,59,71,19
"District 2, Overton County, TN",1654,139,182,101,116,93,130,152,70,54,133,127,114,123,42,46,32
"District 6, Lincoln County, TN",1639,74,150,54,122,76,47,125,111,91,155,196,95,178,63,22,80
"District 4, Weakley County, TN",1634,128,73,95,62,75,156,64,135,157,133,117,178,146,32,55,28
"District 3, Weakley County, TN",1630,117,208,120,161,108,59,80,60,97,186,201,108,44,42,12,27
"District 1, Fayette County, TN",1625,293,124,167,192,90,70,81,17,43,134,86,82,35,89,26,96
"District 6, Claiborne County, TN",1623,112,97,100,68,113,122,169,72,59,203,162,107,67,47,72,53
"District 5, Weakley County, TN",1622,221,80,157,203,39,124,60,33,131,98,74,142,125,83,19,33
"District 2, Wilson County, TN",1617,61,0,10,0,8,13,43,44,5,51,169,289,330,241,206,147
"District 10, Dickson County, TN",1616,167,22,53,111,45,29,84,117,68,254,143,207,139,69,57,51
"District 1, Marshall County, TN",1615,85,38,52,21,63,46,80,127,102,175,222,274,188,52,57,33
"District 3, Obion County, TN",1615,93,94,60,129,119,163,80,113,71,94,171,202,84,77,26,39
"District 7, Rhea County, TN",1613,65,72,80,80,143,163,34,129,99,93,64,318,112,57,51,53
"District 12, Wilson County, TN",1612,74,93,27,62,40,88,16,132,122,104,133,252,147,140,116,66
"District 6, White County, TN",1608,165,121,186,165,53,172,64,67,86,94,172,109,66,26,39,23
"District 10, Gibson County, TN",1607,256,181,146,200,97,12,168,102,127,39,66,149,29,10,15,10
"District 7, Cocke County, TN",1606,108,248,83,213,136,178,17,132,70,146,77,151,15,17,15,0
"District 3, Dickson County, TN",1605,158,67,88,92,99,60,84,33,83,213,167,161,161,63,29,47
"District 3, Giles County, TN",1603,128,103,46,82,127,140,70,29,94,135,164,150,84,85,148,18
"District 9, Marshall County, TN",1601,104,111,36,71,96,0,42,157,104,144,200,204,206,48,67,11
"District 2, Weakley County, TN",1598,176,96,138,118,87,154,45,132,30,131,107,157,157,46,14,10
"District 10, Dyer County, TN",1597,58,86,127,36,83,68,125,56,12,92,79,205,197,71,178,124
"District 1, Weakley County, TN",1591,73,123,96,137,168,150,66,66,55,100,255,195,77,6,24,0
"District 4, Hamblen County, TN",1588,264,203,201,106,94,95,92,66,16,169,48,192,7,17,18,0
"District 1, Union County, TN",1586,175,107,66,39,98,122,77,132,73,139,126,195,59,26,111,41
"District 3, Grundy County, TN",1586,212,127,133,90,71,82,74,84,66,181,75,180,98,20,65,28
"District 6, Jefferson County, TN",1586,29,55,132,178,171,35,92,15,136,76,190,167,182,94,20,14
"District 7, Bedford County, TN",1583,66,27,101,67,73,158,163,115,79,275,105,158,111,41,33,11
"District 1, Carroll County, TN",1582,91,92,148,127,212,83,40,57,71,229,130,149,69,49,13,22
"District 3, Dyer County, TN",1581,114,51,102,163,82,78,83,162,60,159,173,182,105,17,39,11
"District 1, Grundy County, TN",1578,188,135,145,72,107,98,60,74,40,110,103,248,61,65,38,34
"District 19, Gibson County, TN",1573,176,126,110,91,104,152,67,38,41,128,197,126,103,24,46,44
"District 8, Weakley County, TN",1568,191,128,68,95,140,127,84,71,39,134,161,189,40,39,40,22
"District 5, Roane County, TN",1557,86,31,54,59,92,97,32,43,69,215,143,318,115,10,84,109
"District 1, Johnson County, TN",1549,228,192,119,125,109,75,58,151,85,55,120,64,37,0,74,57
"District 3, Lauderdale County, TN",1549,122,152,133,106,119,144,68,103,29,192,119,120,60,35,30,17
"District 4, White County, TN",1546,135,77,128,108,145,89,68,93,40,162,138,179,76,39,34,35
"District 2, Fentress County, TN",1545,114,55,90,162,69,47,62,73,125,268,203,181,44,35,0,17
"District 1, Henderson County, TN",1531,117,113,47,135,122,22,126,105,88,127,129,156,107,105,30,2
"District 9, Dickson County, TN",1529,118,99,43,109,100,46,100,23,61,126,220,161,147,30,51,95
"District 2, Morgan County, TN",1526,70,149,47,157,83,62,156,1,45,99,179,202,88,98,60,30
"District 8, Hamblen County, TN",1526,28,39,98,15,33,82,156,136,73,182,214,283,89,61,15,22
"District 1, Fentress County, TN",1524,308,172,187,149,147,72,116,76,90,71,105,15,13,3,0,0
"District 11, Gibson County, TN",1524,127,119,0,98,39,97,116,52,92,197,178,191,110,36,30,42
"District 4, Grainger County, TN",1524,79,105,100,179,133,62,60,104,52,147,117,237,85,0,50,14
"District 6, Henderson County, TN",1521,130,101,95,63,105,166,0,29,56,119,177,203,137,30,70,40
"District 7, McNairy County, TN",1521,56,106,155,95,124,118,57,112,64,80,170,171,96,35,49,33
"District 6, Marshall County, TN",1520,55,51,146,86,130,100,45,79,102,175,142,189,128,30,9,53
"District 8, Dyer County, TN",1516,99,129,128,29,244,40,80,46,87,192,134,127,104,11,31,35
"District 1, Morgan County, TN",1509,61,139,70,111,102,107,90,80,76,97,185,160,92,46,68,25
"District 1, Dickson County, TN",1507,61,37,75,118,70,74,54,265,78,42,72,274,168,27,21,71
"District 10, Jefferson County, TN",1505,179,56,90,151,108,166,32,120,41,122,70,189,141,5,24,11
"District 6, McNairy County, TN",1502,119,99,137,150,48,106,62,62,44,97,426,49,66,5,14,18
"District 5, Carroll County, TN",1500,283,125,163,30,69,33,96,96,13,22,70,252,90,80,33,45
"District 1, Hamblen County, TN",1496,167,140,90,155,152,106,148,108,43,72,114,83,51,28,9,30
"District 10, Warren County, TN",1496,59,179,45,79,48,60,58,87,30,156,204,177,79,84,65,86
"District 2, Lincoln County, TN",1493,75,56,62,71,64,97,104,87,62,93,150,271,120,97,71,13
"District 11, Dickson County, TN",1488,97,90,34,50,100,59,81,136,61,183,146,239,64,32,42,74
"District 4, Dickson County, TN",1485,136,188,41,29,76,71,69,121,63,141,126,160,202,55,7,0
"District 2, Rhea County, TN",1484,152,129,124,156,58,82,61,65,47,111,110,166,108,54,49,12
"District 7, Scott County, TN",1484,188,91,80,85,70,80,33,50,80,107,196,260,66,50,0,48
"District 4, Morgan County, TN",1483,178,134,204,69,78,65,66,140,55,168,105,113,23,32,8,45
"District 2, Dickson County, TN",1482,52,79,159,71,122,42,70,61,99,122,150,134,142,66,87,26
"District 6, Giles County, TN",1482,247,45,152,99,84,72,72,51,41,185,210,132,53,6,26,7
"District 1, McNairy County, TN",1478,136,106,137,95,131,93,80,85,51,92,175,129,72,65,21,10
"District 3, Johnson County, TN",1477,247,162,74,64,72,103,76,81,70,78,185,129,32,0,54,50
"District 9, Rhea County, TN",1477,131,111,137,87,155,72,30,75,27,123,158,177,130,7,22,35
"District 20, Wilson County, TN",1474,114,119,134,186,62,58,79,79,19,189,169,145,83,0,38,0
"District 5, McNairy County, TN",1463,115,61,60,81,79,113,83,125,96,179,71,174,75,47,30,74
"District 7, Henderson County, TN",1463,119,150,97,115,121,94,175,66,82,111,107,130,35,34,21,6
"District 4, Dyer County, TN",1458,25,50,80,71,102,37,82,55,90,217,122,280,120,54,41,32
"District 1, Lincoln County, TN",1456,63,77,129,96,28,75,74,95,3,67,130,144,189,88,119,79
"District 7, Dyer County, TN",1456,120,68,104,234,60,67,128,165,73,109,178,52,15,28,42,13
"District 2, McNairy County, TN",1453,136,103,144,132,75,161,40,58,43,146,114,166,48,32,14,41
"District 5, Dyer County, TN",1453,43,63,115,97,68,164,56,61,44,112,147,178,131,7,62,105
"District 3, Rhea County, TN",1441,71,78,54,123,133,47,25,48,81,76,135,227,92,154,58,39
"District 3, Roane County, TN",1441,42,186,165,0,109,25,42,102,59,111,179,198,91,44,17,71
"District 5, Fentress County, TN",1438,173,140,104,49,97,120,119,130,20,65,76,186,36,8,79,36
"District 3, White County, TN",1436,151,98,54,29,21,96,76,98,58,145,194,216,46,33,53,68
"District 14, Hamblen County, TN",1435,39,7,80,68,31,57,78,73,55,146,245,156,143,88,84,85
"District 5, White County, TN",1433,98,57,64,72,78,103,149,92,140,80,170,180,40,41,36,33
"District 2, Henderson County, TN",1431,44,98,91,31,189,11,48,104,26,66,196,270,126,14,91,26
"District 2, Warren County, TN",1428,0,37,51,21,67,97,87,88,112,203,291,135,104,29,26,80
"District 3, McNairy County, TN",1428,139,110,118,252,81,68,92,102,13,114,117,170,0,42,0,10
"District 1, Rhea County, TN",1427,184,72,50,102,161,59,131,58,66,54,189,67,98,39,54,43
"District 16, Gibson County, TN",1422,102,68,113,81,113,59,83,49,131,161,91,189,92,43,20,27
"District 5, Henderson County, TN",1418,184,135,91,55,129,150,0,33,42,138,229,102,32,11,76,11
"District 6, Hickman County, TN",1415,92,195,57,123,103,116,106,78,55,86,127,82,94,21,64,16
"District 2, Dyer County, TN",1406,208,97,70,60,32,62,54,43,12,263,128,136,126,58,27,30
"District 1, Warren County, TN",1401,119,111,63,57,219,137,83,90,70,155,86,49,92,21,26,23
"District 6, Warren County, TN",1383,176,238,83,117,82,128,107,74,76,99,34,95,56,0,11,7
"District 7, White County, TN",1381,82,64,12,96,104,130,94,31,38,119,149,276,108,30,29,19
"District 7, Fayette County, TN",1380,111,70,62,61,53,114,44,111,17,156,113,167,120,56,76,49
"District 2, Marshall County, TN",1377,0,59,70,159,48,55,103,76,21,28,240,116,247,56,57,42
"District 8, Claiborne County, TN",1375,210,86,147,68,81,73,99,68,44,55,83,166,35,98,49,13
"District 8, Lauderdale County, TN",1375,125,162,55,81,11,115,144,143,78,84,123,80,83,63,12,16
"District 8, Rhea County, TN",1371,47,85,52,56,72,134,60,56,16,176,178,128,172,68,28,43
"District 9, Weakley County, TN",1369,55,136,110,129,65,70,70,86,83,150,155,139,45,21,0,55
"District 2, Hickman County, TN",1365,29,28,112,34,90,40,99,115,135,91,226,160,84,27,48,47
"District 2, White County, TN",1362,51,130,209,100,59,51,95,169,42,92,155,96,21,66,9,17
"District 9, Warren County, TN",1360,92,94,93,71,52,140,77,70,27,122,105,177,106,48,45,41
"District 2, Fayette County, TN",1346,65,99,43,45,53,44,134,32,74,115,127,200,124,64,114,13
"District 6, Fayette County, TN",1339,27,45,57,65,121,39,60,43,85,124,216,194,75,36,103,49
"District 21, Coffee County, TN",1337,70,59,62,175,26,77,12,16,55,51,364,154,38,15,69,94
"District 3, Warren County, TN",1337,251,89,75,65,63,99,16,157,36,91,86,105,87,47,59,11
"District 1, Lauderdale County, TN",1336,129,77,138,109,117,43,87,60,98,109,117,149,46,10,44,3
"District 8, Marshall County, TN",1336,71,32,74,67,85,211,64,102,27,100,198,145,108,0,38,14
"District 3, Hickman County, TN",1333,0,74,141,15,256,16,33,113,84,93,65,221,109,12,76,25
"District 3, Morgan County, TN",1329,108,71,108,54,162,54,135,77,35,97,114,112,107,45,32,18
"District 7, Hickman County, TN",1328,88,105,88,116,44,116,30,81,86,99,137,178,83,15,40,22
"District 1, Coffee County, TN",1304,68,141,84,85,39,71,88,51,99,90,164,158,53,42,49,22
"District 7, Lauderdale County, TN",1302,88,131,71,106,125,82,18,51,52,67,190,177,107,27,10,0
"District 9, Dyer County, TN",1300,86,88,84,36,175,64,61,62,46,60,102,74,227,108,11,16
"District 8, Warren County, TN",1292,102,148,125,98,54,38,58,75,32,102,172,168,74,19,0,27
"District 6, Scott County, TN",1291,260,107,147,208,67,56,110,90,0,70,116,33,0,8,10,9
"District 1, White County, TN",1282,125,87,137,98,95,150,34,38,116,80,166,106,17,17,8,8
"District 4, Rhea County, TN",1278,94,183,48,75,42,66,81,12,69,126,148,132,35,88,79,0
"District 3, Meigs County, TN",1277,138,84,65,46,140,63,75,118,28,85,147,138,60,55,17,18
"District 6, Lauderdale County, TN",1277,58,46,51,103,71,89,98,29,83,98,109,239,56,54,68,25
"District 4, Scott County, TN",1270,118,99,15,158,83,69,35,112,10,138,184,77,77,25,46,24
"District 2, Lauderdale County, TN",1268,116,135,76,81,45,63,124,48,49,154,65,210,54,0,23,25
"District 5, Warren County, TN",1268,136,156,92,87,47,101,137,93,15,65,169,61,104,0,0,5
"District 1, Scott County, TN",1266,153,51,112,59,60,108,46,71,75,200,98,62,84,33,32,22
